source_file,event_timestamp,calib_horizontal_ratio,calib_vertical_ratio,calib_head_neutral_yaw,calib_head_neutral_pitch,t_gaze_outside_frames,f_gaze_exits,NR_gaze_reversals,NH_head_suspicious,label
behavior_log1.json,2025-05-22 16:46:32,,,,,13,5,8,0,1
behavior_log1.json,2025-05-22 16:47:01,,,,,16,2,3,0,1
behavior_log1.json,2025-05-22 16:47:04,,,,,16,3,5,0,1
behavior_log1.json,2025-05-22 16:47:44,,,,,10,3,6,0,1
behavior_log1.json,2025-05-22 16:47:46,,,,,14,3,6,0,1
behavior_log1.json,2025-05-22 16:48:03,,,,,15,3,6,0,1
behavior_log1.json,2025-05-22 16:48:08,,,,,11,4,8,0,1
behavior_log1.json,2025-05-22 16:48:10,,,,,14,4,7,0,1
behavior_log1.json,2025-05-22 16:48:12,,,,,10,4,7,0,1
behavior_log1.json,2025-05-22 16:48:19,,,,,9,5,13,0,0
behavior_log1.json,2025-05-22 16:49:45,,,,,9,4,13,0,0
behavior_log1.json,2025-05-22 16:49:54,,,,,10,3,7,0,0
behavior_log1.json,2025-05-22 16:53:57,,,,,13,3,4,0,0
behavior_log1.json,2025-05-22 16:54:03,,,,,11,2,2,0,0
behavior_log1.json,2025-05-22 16:54:05,,,,,18,2,3,0,0
behavior_log1.json,2025-05-22 16:54:24,,,,,18,2,5,0,1
behavior_log1.json,2025-05-22 16:54:27,,,,,12,3,8,0,1
behavior_log1.json,2025-05-22 16:54:30,,,,,11,3,7,0,1
behavior_log1.json,2025-05-22 16:54:38,,,,,14,3,5,0,0
behavior_log1.json,2025-05-22 16:55:17,,,,,6,3,6,0,0
behavior_log1.json,2025-05-22 16:55:22,,,,,14,5,8,0,0
behavior_log1.json,2025-05-22 16:55:26,,,,,15,4,7,0,0
behavior_log1.json,2025-05-22 16:55:55,,,,,18,3,5,0,0
behavior_log1.json,2025-05-22 16:55:58,,,,,18,3,4,0,0
behavior_log1.json,2025-05-22 16:56:00,,,,,13,5,9,0,0
behavior_log1.json,2025-05-22 17:02:12,,,,,9,4,7,0,0
behavior_log1.json,2025-05-22 17:02:14,,,,,15,5,8,0,0
behavior_log1.json,2025-05-22 17:06:18,,,,,10,1,1,0,0
behavior_log1.json,2025-05-22 17:06:21,,,,,17,2,2,0,0
behavior_log1.json,2025-05-22 17:08:15,,,,,20,1,0,0,0
